Summary,Precip Type,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary,Year,Month,Day,Predicted_Temperature_C,Uncertainty_STD_C,Lower_90_Percent_C,Upper_90_Percent_C,Interval_Width_C
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
20.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,10.0,0.7,10.0,180.0,10.0,0.0,1015.0,197.0,2026.0,8.0,17.0,10.0,0.0,10.0,10.0,0.0
12.0,0.0,18.0,0.65,14.0,225.0,12.0,2.0,1008.0,150.0,2026.0,9.0,11.0,18.000000000000004,5.02429586778808e-16,18.000000000000004,18.000000000000004,0.0
19.0,0.0,10.0,0.7,10.0,180.0,10.0,0.0,1015.0,197.0,2006.0,4.0,17.0,10.0,0.0,10.0,10.0,0.0
19.0,0.0,10.0,0.7,10.0,180.0,10.0,0.0,1015.0,197.0,2006.0,8.0,17.0,10.0,0.0,10.0,10.0,0.0
19.0,0.0,10.0,0.7,10.0,180.0,10.0,0.0,1015.0,197.0,2026.0,8.0,17.0,10.0,0.0,10.0,10.0,0.0
19.0,0.0,10.0,0.7,10.0,180.0,10.0,0.0,1015.0,197.0,2026.0,8.0,17.0,10.0,0.0,10.0,10.0,0.0
